"AGEGROUP","AGE25-49","25-49"
"AGEGROUP","AGE25-64","25-64"
"AGEGROUP","AGE25-65","25-65"
"AGEGROUP","AGE25-69","25-69"
"AGEGROUP","AGE25-74","25-74"
"AGEGROUP","AGE26-26","26-26"
"AGEGROUP","AGE28-32","28-32"
"AGEGROUP","AGE30-35","30-35"
"AGEGROUP","AGE30-39","30-39"
"AGEGROUP","AGE30-40","30-40"
"AGEGROUP","AGE30-49","30-49"
"AGEGROUP","AGE30-54","30-54"
"AGEGROUP","AGE30-70","30-70"
"AGEGROUP","AGE30-74","30-74"
"AGEGROUP","AGE30-79","30-79"
"AGEGROUP","AGE31-36","31-36"
"AGEGROUP","AGE31-39","31-39"
"AGEGROUP","AGE31-40","31-40"
"AGEGROUP","AGE31-50","31-50"
"AGEGROUP","AGE33-37","33-37"
"AGEGROUP","AGE33-38","33-38"
"AGEGROUP","AGE34-44","34-44"
"AGEGROUP","AGE35-29","35-29"
"AGEGROUP","AGE35-34","35-34"
"AGEGROUP","AGE35-35","35-35"
"AGEGROUP","AGE35-40","35-40"
"AGEGROUP","AGE35-45","35-45"
"AGEGROUP","AGE35-49","35-49"
"AGEGROUP","AGE35-54","35-54"
"AGEGROUP","AGE35-55","35-55"
"AGEGROUP","AGE35-59","35-59"
"AGEGROUP","AGE35-60","35-60"
"AGEGROUP","AGE35-64","35-64"
"AGEGROUP","AGE35-74","35-74"
"AGEGROUP","AGE36-36","36-36"
"AGEGROUP","AGE36-45","36-45"
"AGEGROUP","AGE36-47","36-47"
"AGEGROUP","AGE36-50","36-50"
"AGEGROUP","AGE37-42","37-42"
"AGEGROUP","AGE37-43","37-43"
"AGEGROUP","AGE38-42","38-42"
"AGEGROUP","AGE39-43","39-43"
"AGEGROUP","AGE40-45","40-45"
"AGEGROUP","AGE40-49","40-49"
"AGEGROUP","AGE40-50","40-50"
"AGEGROUP","AGE40-59","40-59"
"AGEGROUP","AGE40-65","40-65"
"AGEGROUP","AGE40-69","40-69"
"AGEGROUP","AGE40-79","40-79"
"AGEGROUP","AGE40-80","40-80"
"AGEGROUP","AGE40-84","40-84"
"AGEGROUP","AGE41-50","41-50"
"AGEGROUP","AGE42-65","42-65"
"AGEGROUP","AGE43-43","43-43"
"AGEGROUP","AGE43-47","43-47"
"AGEGROUP","AGE43-48","43-48"
"AGEGROUP","AGE44-48","44-48"
"AGEGROUP","AGE44-49","44-49"
"AGEGROUP","AGE45-45","45-45"
"AGEGROUP","AGE45-50","45-50"
"AGEGROUP","AGE45-55","45-55"
"AGEGROUP","AGE45-64","45-64"
"AGEGROUP","AGE45-66","45-66"
"AGEGROUP","AGE45-69","45-69"
"AGEGROUP","AGE46-55","46-55"
"AGEGROUP","AGE46-64","46-64"
"AGEGROUP","AGE48-52","48-52"
"AGEGROUP","AGE48-59","48-59"
"AGEGROUP","AGE49-49","49-49"
"AGEGROUP","AGE49-53","49-53"
"AGEGROUP","AGE49-54","49-54"
"AGEGROUP","AGE50-55","50-55"
"AGEGROUP","AGE50-59","50-59"
"AGEGROUP","AGE50-64","50-64"
"AGEGROUP","AGE50-65","50-65"
"AGEGROUP","AGE50-79","50-79"
"AGEGROUP","AGE51-59","51-59"
"AGEGROUP","AGE51-60","51-60"
"AGEGROUP","AGE51-64","51-64"
"AGEGROUP","AGE53-53","53-53"
"AGEGROUP","AGE53-57","53-57"
"AGEGROUP","AGE53-75","53-75"
"AGEGROUP","AGE54-59","54-59"
"AGEGROUP","AGE54-74","54-74"
"AGEGROUP","AGE55-54","55-54"
"AGEGROUP","AGE55-55","55-55"
"AGEGROUP","AGE55-60","55-60"
"AGEGROUP","AGE55-65","55-65"
"AGEGROUP","AGE55-74","55-74"
"AGEGROUP","AGE56-65","56-65"
"AGEGROUP","AGE56-75","56-75"
"AGEGROUP","AGE58-64","58-64"
"AGEGROUP","AGE60-65","60-65"
"AGEGROUP","AGE60-70","60-70"
"AGEGROUP","AGE60-74","60-74"
"AGEGROUP","AGE60-79","60-79"
"AGEGROUP","AGE60-85","60-85"
"AGEGROUP","AGE60-90","60-90"
"AGEGROUP","AGE60-97","60-97"
"AGEGROUP","AGE61-66","61-66"
"AGEGROUP","AGE61-70","61-70"
"AGEGROUP","AGE61-75","61-75"
"AGEGROUP","AGE65-65","65-65"
"AGEGROUP","AGE65-70","65-70"
"AGEGROUP","AGE65-75","65-75"
"AGEGROUP","AGE65-79","65-79"
"AGEGROUP","AGE65-84","65-84"
"AGEGROUP","AGE67-72","67-72"
"AGEGROUP","AGE67-79","67-79"
"AGEGROUP","AGE70-75","70-75"
"AGEGROUP","AGE70-93","70-93"
"AGEGROUP","AGE73-80","73-80"
"AGEGROUP","AGE75-84","75-84"
"AGEGROUP","AGE15-100","15-100"
"AGEGROUP","AGE16-100","16-100"
"AGEGROUP","AGE17-100","17-100"
"AGEGROUP","AGE18-100","18-100"
"AGEGROUP","AGE19-100","19-100"
"AGEGROUP","AGE20-100","20-100"
"AGEGROUP","AGE21-100","21-100"
"AGEGROUP","AGE25-100","25-100"
"AGEGROUP","AGE30-100","30-100"
"AGEGROUP","AGE35-100","35-100"
"AGEGROUP","AGE40-100","40-100"
"AGEGROUP","AGE45-100","45-100"
"AGEGROUP","AGE47-100","47-100"
"AGEGROUP","AGE50-100","50-100"
"AGEGROUP","AGE51-100","51-100"
"AGEGROUP","AGE55-100","55-100"
"AGEGROUP","AGE60-100","60-100"
"AGEGROUP","AGE60-102","60-102"
"AGEGROUP","AGE61-100","61-100"
"AGEGROUP","AGE65-100","65-100"
"AGEGROUP","AGE66-100","66-100"
"AGEGROUP","AGE67-100","67-100"
"AGEGROUP","AGE70-100","70-100"
"AGEGROUP","AGE71-100","71-100"
"AGEGROUP","AGE75-100","75-100"
"AGEGROUP","AGE80-100","80-100"
"AGEGROUP","AGE80-102","80-102"
"AGEGROUP","AGE85-100","85-100"
"AGEGROUP","AGE95-100","95-100"
"AGEGROUP","NA","Not applicable"
"AGEGROUP","AGE0-29","0-29"
"AGEGROUP","AGE50+","50+"
"AGEGROUP","AGE100 ","100 "
"AGEGROUP","DAYS0-27","0-27 day"
"AGEGROUP","MONTHS1-59","1-59 months"
"AGEGROUP","YEARS0-4","0-4 years"
"AGEGROUP","YEARS05-14","5-14"
"AGEGROUP","YEARS15-29","15-29"
"AGEGROUP","YEARS30-49","30-49"
"AGEGROUP","YEARS50-69","50-69"
"AGEGROUP","YEARS70+","70+"
"AGEGROUP","AGEAdult","Adult"
"AGEGROUP","AGEYouth","Youth"
"AGEGROUP","YEARS0-5","0-5"
"AGEGROUP","YEARS6-11","6-11"
"AGEGROUP","YEARS12+","12+"
"AGEGROUP","YEARS15-69","15-69 (total)"
"AGEGROUP","YEARS50-59","50-59"
"AGEGROUP","YEARS60-69","60-69"
"AGEGROUP","YEARS30-59","30-59"
"AGEGROUP","YEARS70PLUS","70+"
"AGEGROUP","YEARSLESS18","<18"
"AGEGROUP","AGE45-PLUS","45+"
"AGEGROUP","YEARS18-PLUS","18+"
"AGEGROUP","YEARS11-17-PLUS","11-17"
"AGEGROUP","YEARS11-17","11-17"
