pd,FT,homeFT,homePT,eNE,PT,officeCler,manConst,profMan,retail,oNE,zero,eleven,fourteen,sixteen,eighteen,twentysix,thirtyone,fortyone,fiftyone,fiftyfive,sixtyfivePlus,male,female,lYes,lNo
17,0.297333333,0.084,0.009333333,0.524,0.085333333,0.056,0.109333333,0.116,0.194666667,0.524,0.129333333,0.026666667,0.018666667,0.014666667,0.058666667,0.054666667,0.088,0.128,0.081333333,0.157333333,0.242666667,0.522666667,0.477333333,0.774666667,0.225333333
18,0.338536585,0.070243902,0.018536585,0.492682927,0.08,0.084878049,0.077073171,0.148292683,0.197073171,0.492682927,0.099512195,0.03804878,0.030243902,0.035121951,0.055609756,0.028292683,0.082926829,0.155121951,0.099512195,0.15902439,0.216585366,0.501463415,0.498536585,0.75902439,0.24097561
19,0.304713805,0.04040404,0.014309764,0.53956229,0.101010101,0.050505051,0.082491582,0.122053872,0.205387205,0.53956229,0.067340067,0.026936027,0.03030303,0.023569024,0.082491582,0.026094276,0.061447811,0.132996633,0.086700337,0.203703704,0.258417508,0.503367003,0.496632997,0.818181818,0.181818182
20,0.375395089,0.038414782,0.010211524,0.491125699,0.084852905,0.090688062,0.057379042,0.167274496,0.193532701,0.491125699,0.096766351,0.040359835,0.025528811,0.032822757,0.087284221,0.039387309,0.091417457,0.167031364,0.077802091,0.166788232,0.174811573,0.48966691,0.51033309,0.734014102,0.265985898
21,0.38829127,0.023169218,0.008067853,0.506412909,0.074058751,0.087918908,0.058543649,0.158047166,0.189077369,0.506412909,0.149151841,0.042201076,0.030823335,0.031237071,0.08771204,0.044062888,0.144187009,0.166735623,0.064335954,0.11894911,0.120604055,0.488001655,0.511998345,0.66383947,0.33616053
22,0.350511825,0.034592305,0.009883516,0.521178962,0.083833392,0.079068126,0.057359689,0.166078362,0.176314861,0.521178962,0.149135192,0.038828097,0.028062125,0.029121073,0.065478292,0.040063537,0.132192023,0.155665372,0.065478292,0.142957995,0.153018002,0.485527709,0.514472291,0.69837628,0.30162372
23,0.319001587,0.025825999,0.007646804,0.569037657,0.078487953,0.06204011,0.077622277,0.114990622,0.176309335,0.569037657,0.113547829,0.025104603,0.018756312,0.023661809,0.070985428,0.047179339,0.112537873,0.128552878,0.064925696,0.152936084,0.241812148,0.495022363,0.504977637,0.704083105,0.295916895
24,0.338357197,0.031901532,0.011052499,0.541572469,0.077116302,0.062295906,0.086661643,0.143933685,0.165536297,0.541572469,0.132378799,0.036423009,0.023612158,0.023863351,0.064054258,0.051243406,0.110524994,0.145189651,0.057774429,0.14669681,0.208239136,0.498869631,0.501130369,0.741522231,0.258477769
25,0.37460173,0.035047792,0.015020482,0.479289941,0.096040055,0.07419208,0.103322713,0.130177515,0.213017751,0.479289941,0.124260355,0.035958125,0.029585799,0.029130633,0.060537096,0.030040965,0.115612198,0.170687301,0.070095585,0.15430132,0.179790624,0.490669094,0.509330906,0.740100137,0.259899863
26,0.372844828,0.043103448,0.014008621,0.454741379,0.115301724,0.078663793,0.081896552,0.185344828,0.199353448,0.454741379,0.090517241,0.025862069,0.019396552,0.021551724,0.090517241,0.032327586,0.076508621,0.13362069,0.075431034,0.201508621,0.232758621,0.503232759,0.496767241,0.808189655,0.191810345
27,0.380453327,0.031684134,0.011942481,0.489398001,0.086522057,0.079697782,0.070436266,0.1496466,0.21082135,0.489398001,0.136729223,0.04630758,0.033390202,0.034852547,0.068486473,0.039483305,0.115281501,0.17816232,0.068486473,0.130392396,0.14842798,0.474774555,0.525225445,0.677796734,0.322203266
28,0.369369369,0.04954955,0.018427518,0.484438984,0.078214578,0.091728092,0.052416052,0.183865684,0.187551188,0.484438984,0.127354627,0.040950041,0.035626536,0.038083538,0.054873055,0.023341523,0.11015561,0.184684685,0.070843571,0.150696151,0.163390663,0.488533989,0.511466011,0.724815725,0.275184275
29,0.370443464,0.036220107,0.011260738,0.507313675,0.074762015,0.090085907,0.045623404,0.190155561,0.166821453,0.507313675,0.134432319,0.039238449,0.028906431,0.030299512,0.078244718,0.041560251,0.131297887,0.17506385,0.064662178,0.13454841,0.141745995,0.497213838,0.502786162,0.699442768,0.300557232
