FT,FT,4901
FT,homeFT,665
FT,homePT,252
FT,eNE,4318
FT,PT,1331
homeFT,FT,665
homeFT,homeFT,92
homeFT,homePT,47
homeFT,eNE,328
homeFT,PT,69
homePT,FT,252
homePT,homeFT,47
homePT,homePT,5
homePT,eNE,40
homePT,PT,13
eNE,FT,4318
eNE,homeFT,328
eNE,homePT,40
eNE,eNE,592
eNE,PT,306
PT,FT,1331
PT,homeFT,69
PT,homePT,13
PT,eNE,306
PT,PT,72
