eleven,eleven,0
eleven,fourteen,0
eleven,sixteen,0
eleven,eighteen,0
eleven,twentysix,14
eleven,thirtyone,115
eleven,fortyone,115
eleven,fiftyone,4
eleven,fiftyfive,6
eleven,sixtyfivePlus,0
fourteen,eleven,0
fourteen,fourteen,0
fourteen,sixteen,0
fourteen,eighteen,0
fourteen,twentysix,3
fourteen,thirtyone,37
fourteen,fortyone,46
fourteen,fiftyone,3
fourteen,fiftyfive,2
fourteen,sixtyfivePlus,0
sixteen,eleven,0
sixteen,fourteen,0
sixteen,sixteen,0
sixteen,eighteen,0
sixteen,twentysix,0
sixteen,thirtyone,33
sixteen,fortyone,30
sixteen,fiftyone,1
sixteen,fiftyfive,2
sixteen,sixtyfivePlus,0
eighteen,eleven,0
eighteen,fourteen,0
eighteen,sixteen,0
eighteen,eighteen,61
eighteen,twentysix,111
eighteen,thirtyone,100
eighteen,fortyone,63
eighteen,fiftyone,8
eighteen,fiftyfive,9
eighteen,sixtyfivePlus,11
twentysix,eleven,14
twentysix,fourteen,3
twentysix,sixteen,0
twentysix,eighteen,111
twentysix,twentysix,508
twentysix,thirtyone,1027
twentysix,fortyone,104
twentysix,fiftyone,10
twentysix,fiftyfive,22
twentysix,sixtyfivePlus,4
thirtyone,eleven,115
thirtyone,fourteen,37
thirtyone,sixteen,33
thirtyone,eighteen,100
thirtyone,twentysix,1027
thirtyone,thirtyone,5586
thirtyone,fortyone,2385
thirtyone,fiftyone,71
thirtyone,fiftyfive,95
thirtyone,sixtyfivePlus,40
fortyone,eleven,115
fortyone,fourteen,46
fortyone,sixteen,30
fortyone,eighteen,63
fortyone,twentysix,104
fortyone,thirtyone,2385
fortyone,fortyone,1888
fortyone,fiftyone,242
fortyone,fiftyfive,125
fortyone,sixtyfivePlus,49
fiftyone,eleven,4
fiftyone,fourteen,3
fiftyone,sixteen,1
fiftyone,eighteen,8
fiftyone,twentysix,10
fiftyone,thirtyone,71
fiftyone,fortyone,242
fiftyone,fiftyone,25
fiftyone,fiftyfive,29
fiftyone,sixtyfivePlus,8
fiftyfive,eleven,6
fiftyfive,fourteen,2
fiftyfive,sixteen,2
fiftyfive,eighteen,9
fiftyfive,twentysix,22
fiftyfive,thirtyone,95
fiftyfive,fortyone,125
fiftyfive,fiftyone,29
fiftyfive,fiftyfive,22
fiftyfive,sixtyfivePlus,8
sixtyfivePlus,eleven,0
sixtyfivePlus,fourteen,0
sixtyfivePlus,sixteen,0
sixtyfivePlus,eighteen,11
sixtyfivePlus,twentysix,4
sixtyfivePlus,thirtyone,40
sixtyfivePlus,fortyone,49
sixtyfivePlus,fiftyone,8
sixtyfivePlus,fiftyfive,8
sixtyfivePlus,sixtyfivePlus,9
